ID	Priority	Arrival Time	Printing Time
1	4		0.87		3.17
2	1		1.69		3.39
3	3		1.94		3.37
4	1		2.49		1.99
5	1		2.92		0.58
6	4		3.34		4.57
7	2		3.64		2.32
8	1		3.81		3.03
9	3		4.07		3.55
10	1		4.94		1.13
11	4		5.77		2.81
12	3		6.22		2.59
13	4		7.19		3.08
14	3		7.5		3.2
15	3		8.06		4.47
16	2		8.91		1.32
17	1		9		4.56
18	1		9.64		3.64
19	4		9.81		4.19
20	1		10.01		3.47
21	2		10.17		1.03
22	2		11.14		3.24
23	1		11.91		4.81
24	3		12.11		4.32
25	4		12.33		3.6
26	1		13		3.15
27	2		13.25		1.72
28	1		14.18		2.13
29	2		14.41		3.52
30	3		14.89		3.73
31	1		15.59		0.61
32	2		16.09		0.6
33	1		16.48		0.52
34	3		16.78		1.6
35	4		17.74		2.31
36	2		18.58		2.52
37	4		19.35		2.42
38	2		20.02		1.29
39	3		20.54		0.71
40	4		21.1		4.71
41	3		21.39		3.27
42	3		22.13		1.4
43	2		22.56		2.39
44	2		23.52		3.19
45	2		23.8		3.21
46	1		23.8		3.82
47	4		23.95		4.46
48	1		24.01		1.4
49	1		24.35		1.46
50	3		24.35		1.19
51	4		24.93		4.6
52	1		25.74		3.92
53	1		26.13		3.86
54	4		26.97		2.12
55	3		27.74		4.29
56	4		28.38		3.61
57	2		28.71		3.57
58	3		28.93		4.7
59	2		29.88		1.69
60	2		30.75		2.22
61	4		31.09		2.1
62	4		31.63		3.32
63	2		32.01		4.06
64	1		32.84		2.15
65	2		33.56		1.64
66	3		33.72		2.23
67	2		34.37		0.72
68	3		35.31		4.9
69	2		35.39		4.59
70	1		35.72		0.99
71	3		36.63		2.89
72	1		37.02		0.83
73	1		37.57		2.06
74	2		37.7		0.96
75	2		37.78		2.93
76	2		38.65		1.38
77	2		38.71		3.23
78	2		38.95		0.88
79	2		39.33		4.18
80	3		40.17		4.31
81	2		40.22		3.83
82	3		40.6		2.81
83	4		41.58		3.07
84	4		42		2.8
85	1		42.23		3.7
86	2		42.54		3.81
87	4		43.09		3.27
88	4		43.73		4.66
89	3		44.17		3.27
90	1		45.09		1.71
91	1		45.98		1.71
92	4		46.3		2.71
93	4		46.98		2.62
94	4		47.12		2.08
95	4		47.46		2.69
96	2		47.84		4.91
97	1		48.26		4.74
98	2		48.46		2.51
99	3		49.24		4.28
100	3		49.57		3.65
