1,4010,1,Z,5,5,0
1,4010,2,Z,0,0,0
1,4010,3,Z,0,0,0
1,4010,4,Z,0,0,0
1,4010,5,Z,5,0,5
1,4010,6,Z,0,0,7
1,4010,7,Z,0,0,0
1,4010,8,Z,5,0,0
1,4010,9,Z,0,0,0
1,4010,10,Z,0,0,0
1,4011,1,Z,0,0,0
1,4011,2,Z,0,0,0
1,4011,3,Z,0,0,0
1,4011,4,Z,5,0,0
1,4011,5,Z,0,0,0
1,4011,6,Z,0,0,0
1,4011,7,Z,0,0,0
1,4011,8,Z,0,6,0
1,4011,9,Z,0,0,0
1,4011,10,Z,0,0,0
2,4000,1,X,0,0,2
2,4000,2,X,1,0,2
2,4000,3,X,1,0,0
2,4000,4,X,0,2,1
2,4000,5,X,0,2,0
2,4000,6,X,0,0,1
2,4000,7,X,1,0,0
2,4000,8,X,0,1,0
2,4000,9,X,1,0,1
2,4000,10,X,0,0,1
2,4001,1,X,2,0,0
2,4001,2,X,1,1,0
2,4001,3,X,1,0,0
2,4001,4,X,2,0,1
2,4001,5,X,0,1,0
2,4001,6,X,1,0,0
2,4001,7,X,0,0,1
2,4001,8,X,1,0,0
2,4001,9,X,0,2,0
2,4001,10,X,0,0,1
2,4002,1,X,0,1,2
2,4002,2,X,3,0,0
2,4002,3,X,1,0,0
2,4002,4,X,1,1,0
2,4002,5,X,2,0,2
2,4002,6,X,2,0,0
2,4002,7,X,0,1,0
2,4002,8,X,3,1,0
2,4002,9,X,0,0,0
2,4002,10,X,1,0,1
2,4003,1,X,0,0,0
2,4003,2,X,0,1,0
2,4003,3,X,0,1,0
2,4003,4,X,1,0,1
2,4003,5,X,1,0,1
2,4003,6,X,0,1,1
2,4003,7,X,0,1,0
2,4003,8,X,1,0,1
2,4003,9,X,1,0,1
2,4003,10,X,0,0,0
2,4004,1,X,0,1,0
2,4004,2,X,0,1,1
2,4004,3,X,0,0,0
2,4004,4,X,2,0,0
2,4004,5,X,1,0,0
2,4004,6,X,0,1,1
2,4004,7,X,1,0,1
2,4004,8,X,0,1,0
2,4004,9,X,0,0,1
